Chemical Formula,Experimental Enthalpy (eV),"Calculated Enthalpy (uncorrected, eV)",FERE Corrected Enthalpy (eV)
TaN,-1.3,-1.3402685200000022,-1.265723971815227
TaS2,-1.22,-1.1257463873333318,-1.2428506854565124
TiAs,-0.78,-0.9766262149999996,-0.8955063745965894
TiCl4,-1.7,-1.7636079040000012,-1.7153328033800221
TiN,-1.58,-1.880766574999999,-1.6452446416460358
TiO2,-3.26,-3.255982860000001,-3.18497420931717
TiS,-1.41,-1.5743117355000003,-1.5812785031347723
TiS2,-1.41,-1.458305570666667,-1.4680916120103855
Ti2O3,-3.15,-3.1410648389999993,-3.0770079480362442
VF4,-2.91,-3.0953925339999997,-2.917549112277773
VN,-1.13,-1.3297009150000019,-0.9013517694426643
VO,-2.24,-2.6377209925000002,-2.3912645289114884
VO2,-2.47,-2.6680266433333344,-2.468466517848254
V2O3,-2.53,-2.866012397,-2.647693736273547
V2O5,-2.29,-2.4007815235714287,-2.2146203518301877
YAs,-1.68,-1.7738810799999989,-1.72290958014435
YCl3,-2.59,-2.63753294,-2.607256012599395
YF3,-4.45,-4.544562374999998,-4.4651253511423015
Y2O3,-3.95,-3.9684037569999986,-3.9284655384744527
ZnCl2,-1.43,-1.4578466500000005,-1.4248750523003462
ZnF2,-2.64,-2.7890602899999997,-2.7123908287829295
ZnO,-1.81,-1.9339130175,-1.89154300871337
ZnP2,-0.21,-0.32371324666666607,-0.36583576929021194
ZnS,-1.07,-1.0558410654999992,-1.0740670757332804
ZnSb,-0.08,-0.03543312500000084,0.007081915230198632
ZnSe,-0.85,-0.8782620049999998,-0.8854245674362318
ZnTe,-0.61,-0.5305201850000003,-0.5181730321135483
Zn3As2,-0.28,-0.22438578000000006,-0.17270278809707235
Zn3N2,-0.05,-0.29087269599999954,-0.11566802973662789
Zn3P2,-0.33,-0.3010409299999992,-0.3347254162561086
ZrN,-1.89,-2.009514724999999,-1.8812301487669139
ZrO2,-3.8,-3.8757701366666666,-3.8762530573977543
ZrS2,-1.96,-1.8083158973333322,-1.8895935100909682
