Chemical Formula,Experimental Enthalpy (eV),"Calculated Enthalpy (uncorrected, eV)",FERE Corrected Enthalpy (eV)
SnO2,-1.97,-1.9352483099999986,-1.9303226330490233
SnS,-0.57,-0.45923040549999783,-0.5714310097083661
SnS2,-0.53,-0.44406675399999784,-0.5494532257138877
SnSe,-0.47,-0.41569332499999945,-0.5083104959278231
SnSe2,-0.43,-0.36417115999999794,-0.44344638733982816
SrO,-3.07,-3.049392772500001,-3.1100146815897283
SrO2,-2.19,-2.1755699366666668,-2.191414537302362
SrS,-2.45,-2.4563990055,-2.599755026088374
Sr2Bi,-1.08,-0.8767545500000011,-1.0232592434994718
Sr2Sb,-1.11,-0.9762841699999996,-1.10277691862332
TaN,-1.3,-1.3157040299999991,-1.2400750824737585
TaS2,-1.22,-1.1311126773333342,-1.2599499450174914
TiAs,-0.78,-0.947674475000003,-0.884076229748004
TiCl4,-1.7,-1.7546447880000002,-1.7067214301016307
TiN,-1.58,-1.8003362799999998,-1.595040635900899
TiO2,-3.26,-3.2554307233333333,-3.187511377970717
TiS,-1.41,-1.5264494054999993,-1.5441595070909067
TiS2,-1.41,-1.502692214000002,-1.5450850173022488
Ti2O3,-3.15,-3.1439663030000005,-3.0772050918193328
VF4,-2.91,-3.1890623600000003,-2.908401226089441
VN,-1.13,-1.3006474299999997,-0.6845470875989506
VO,-2.24,-3.1783392374999995,-2.7025105292903095
VO2,-2.47,-2.7790357499999985,-2.437246605769417
V2O3,-2.53,-3.187102845000001,-2.791697875177775
V2O5,-2.29,-2.4117178450000005,-2.108225719049163
YAs,-1.68,-1.7615780600000015,-1.7540362019560582
YCl3,-2.59,-2.6454664799999996,-2.625045400352864
YF3,-4.45,-4.552501552499999,-4.467940569704664
Y2O3,-3.95,-3.9359144729999995,-3.9139983715857767
ZnCl2,-1.43,-1.4578466500000005,-1.411718296468995
ZnF2,-2.64,-2.7890602899999997,-2.6859186892261513
ZnO,-1.81,-1.9339130175,-1.87368517555449
ZnP2,-0.21,-0.32371324666666607,-0.410173565743591
ZnS,-1.07,-1.0558410654999992,-1.078347335053138
ZnSb,-0.08,-0.03543312500000084,-0.00684557967382915
ZnSe,-0.85,-0.8782620049999998,-0.8811848412725958
ZnTe,-0.61,-0.5305201850000003,-0.5131875867134248
Zn3As2,-0.28,-0.22438578000000006,-0.1679949846444572
Zn3N2,-0.05,-0.29087269599999954,-0.12112398156677387
Zn3P2,-0.33,-0.3010409299999992,-0.3342188543986936
ZrN,-1.89,-1.9819866200000007,-1.8217138846307854
ZrO2,-3.8,-3.9195228866666674,-3.88161881379064
ZrS2,-1.96,-1.851497187333332,-1.92390526312217
