Chemical Formula,Experimental Enthalpy (eV),"Calculated Enthalpy (uncorrected, eV)",FERE Corrected Enthalpy (eV)
Na2S,-1.26,-1.304470163666667,-1.2955052749083542
Na2S2,-1.03,-1.0317127929999987,-1.0397479634761737
Na2Se,-1.18,-1.2766228933333323,-1.2585876877268258
Na2Se2,-0.97,-1.0106724474999993,-1.0051021427038833
Na3As,-0.53,-0.5452746175000005,-0.48966077771883754
Na3Bi,-0.46,-0.46358731750000004,-0.4346835105093554
Na3Sb,-0.53,-0.5332746325000013,-0.4893797434102094
NbN,-1.22,-1.2737520800000013,-1.2041031463420424
NbO2,-2.75,-2.7128192466666667,-2.759620672390573
Nb2O5,-2.81,-2.7797366964285715,-2.8102094064388723
NiF2,-2.25,-2.4728914299999993,-2.3705990175454894
NiO,-1.24,-1.441836412499999,-1.3577411265037913
NiS,-0.43,-0.5665441455,-0.5457163257292716
NiSb,-0.34,-0.3800767850000035,-0.30638902380080424
NiSe,-0.31,-0.40097738499999735,-0.3665440899569816
NiTe,-0.28,-0.28669051500000364,-0.22571784453146293
Ni2O3,-1.01,-1.069713813,-0.9889376673487689
Ni2Te3,-0.3,-0.26438501000000086,-0.21135600298197232
Ni3P,-0.54,-0.5464375475000001,-0.4961672956186227
Ni3S2,-0.42,-0.5139365783999977,-0.47713612503920044
PdCl2,-0.69,-0.6766685399999991,-0.6095499632568936
PdO,-0.44,-0.6864892725000011,-0.5847611486602098
PdS,-0.39,-0.48958353049999914,-0.4511228728856871
PdS2,-0.28,-0.36248941733333123,-0.3565274283170036
Pd4S,-0.14,-0.21695825020000256,-0.11999998910932277
PtO,-0.37,-0.4172839725000017,-0.14655189965399273
PtO2,-0.57,-0.7532135066666635,-0.5502255966788852
PtS,-0.42,-0.560956330499998,-0.3534917238794719
PtS2,-0.38,-0.5157782539999971,-0.39714696564619106
Pt3O4,-0.4,-0.669689101428572,-0.42799024123609036
RbCl,-2.26,-2.2183859550000005,-2.2314888895660197
RbF,-2.89,-2.89480923,-2.872715368860673
RbSb,-0.52,-0.5208630499999991,-0.526973483932629
RbSb2,-0.35,-0.3530261766666645,-0.34153828772932115
Rb2O,-1.17,-1.1124121883333327,-1.1291825952712695
Rb2O2,-1.22,-1.1977141574999983,-1.1934170666356199
Rb2S,-1.25,-1.2071538203333319,-1.266102538088255
Rb3Sb,-0.45,-0.45615727500000247,-0.48866519323760116
RhCl3,-0.78,-0.8869041124999981,-0.7836803049252108
RhO2,-0.85,-1.055703459999999,-0.9057715271299287
Rh2O3,-0.84,-1.0011490930000009,-0.8347306904101799
Rh2S3,-0.54,-0.6175631725999977,-0.5270657294807535
ScAs,-1.39,-1.5530165999999994,-1.49548004469046
ScCl3,-2.4,-2.4323720525,-2.4024692091480304
ScF3,-4.22,-4.2931250925,-4.210427055590012
Sc2O3,-3.94,-3.970850345000001,-3.92174548516669
SiO2,-3.13,-3.0880142033333335,-3.0458615244101352
SiS2,-0.88,-0.7499092573333334,-0.7921132000441075
SiSe2,-0.61,-0.4958448733333327,-0.5199081823477224
Si3N4,-1.1,-1.3707569928571428,-1.1374452990282902
SnO,-1.48,-1.4209586324999997,-1.465350183478499
SnO2,-1.97,-1.9352483099999986,-1.9423428158952234
SnS,-0.57,-0.45923040549999783,-0.5668894227039765
SnS2,-0.53,-0.44406675399999784,-0.535517881529195
SnSe,-0.47,-0.41569332499999945,-0.5097468669316889
SnSe2,-0.43,-0.36417115999999794,-0.4374816538328095
SrO,-3.07,-3.049392772500001,-3.1203587622075393
SrO2,-2.19,-2.1755699366666668,-2.200380735047917
SrS,-2.45,-2.4563990055,-2.5906324614330174
Sr2Bi,-1.08,-0.8767545500000011,-1.020802190364023
Sr2Sb,-1.11,-0.9762841699999996,-1.1003437008985013
TaN,-1.3,-1.355300365000005,-1.268128862152608
TaS2,-1.22,-1.121771090666665,-1.241247425231587
TiAs,-0.78,-0.9606338500000007,-0.8860583213159501
TiCl4,-1.7,-1.7584955660000006,-1.7212177952865133
TiN,-1.58,-1.8351703700000002,-1.6000243535222012
TiO2,-3.26,-3.2558569799999995,-3.192327017177346
TiS,-1.41,-1.5470365505000014,-1.5487588646271622
TiS2,-1.41,-1.4837222706666655,-1.5045489294779866
Ti2O3,-3.15,-3.1410960489999993,-3.078360010467081
VF4,-2.91,-3.0911316320000006,-2.92038823111753
VN,-1.13,-1.3309978699999974,-0.9029749609211208
VO,-2.24,-2.6134740124999993,-2.3590519678006032
VO2,-2.47,-2.6642082233333326,-2.472093665443294
V2O3,-2.53,-2.8526125890000005,-2.635575036386217
V2O5,-2.29,-2.400167677857143,-2.2258552590554905
YAs,-1.68,-1.7757949900000014,-1.7207918596904577
YCl3,-2.59,-2.6273838775,-2.5987477466480318
YF3,-4.45,-4.534848,-4.453416675590013
Y2O3,-3.95,-3.984053979000001,-3.936975859166691
ZnCl2,-1.43,-1.4578466500000005,-1.429508940626788
ZnF2,-2.64,-2.7890602899999997,-2.713793519686328
ZnO,-1.81,-1.9339130175,-1.89035619471505
ZnP2,-0.21,-0.32371324666666607,-0.3845031966589782
ZnS,-1.07,-1.0558410654999992,-1.0755517089405284
ZnSb,-0.08,-0.03543312500000084,-0.0022838270120608684
ZnSe,-0.85,-0.8782620049999998,-0.8843671731682399
ZnTe,-0.61,-0.5305201850000003,-0.5100859777427189
Zn3As2,-0.28,-0.22438578000000006,-0.1751932082437378
Zn3N2,-0.05,-0.29087269599999954,-0.11322373400874142
Zn3P2,-0.33,-0.3010409299999992,-0.3296692754759576
ZrN,-1.89,-2.023070865000001,-1.912495715687136
ZrO2,-3.8,-3.84442559,-3.863942871953969
ZrS2,-1.96,-1.777186080666669,-1.8810599842546079
