Chemical Formula,Experimental Enthalpy (eV),"Calculated Enthalpy (uncorrected, eV)",FERE Corrected Enthalpy (eV)
Rb3Sb,-0.45,-0.5102840549999996,-0.5059498548169685
RhCl3,-0.78,-0.9096213312499994,-0.78578185656459
RhO2,-0.85,-1.0261676800000004,-0.885610183626324
Rh2O3,-0.84,-1.0203807779999976,-0.848800951269601
Rh2S3,-0.54,-0.656381643200001,-0.5182032510166692
ScAs,-1.39,-1.5801031349999999,-1.5427361008160219
ScCl3,-2.4,-2.405383368750001,-2.414868864392325
ScF3,-4.22,-4.2550141175,-4.2068894557147205
Sc2O3,-3.94,-3.8670093260000002,-3.908749451793979
SiO2,-3.13,-3.0564191599999995,-3.0600821916406176
SiS2,-0.88,-0.7488998913333328,-0.7896756280262464
SiSe2,-0.61,-0.5176536300000004,-0.514440901080936
Si3N4,-1.1,-1.3528021614285717,-1.1365430398931713
SnO,-1.48,-1.4340207400000011,-1.4523423847961254
SnO2,-1.97,-1.9571388933333342,-1.9742047083340566
SnS,-0.57,-0.481479341,-0.5276355145853451
SnS2,-0.53,-0.4938751513333344,-0.548053671386351
SnSe,-0.47,-0.46085059500000014,-0.4740154193763644
SnSe2,-0.43,-0.44155602000000016,-0.45174607444104
SrO,-3.07,-3.016673214999999,-3.1050509723836353
SrO2,-2.19,-2.1334837233333324,-2.197253613392398
SrS,-2.45,-2.452395200999998,-2.568607487172857
Sr2Bi,-1.08,-0.9335117333333329,-1.0210262473708365
Sr2Sb,-1.11,-1.0542490499999981,-1.1141274594141375
TaN,-1.3,-1.3761297299999988,-1.2534694573149494
TaS2,-1.22,-1.1643570513333354,-1.2510203617900306
TiAs,-0.78,-1.024977765000001,-0.8977228123305618
TiCl4,-1.7,-1.7548523579999995,-1.7235137805329572
TiN,-1.58,-1.8686285299999987,-1.637568126817838
TiO2,-3.26,-3.2105894800000008,-3.187873331739661
TiS,-1.41,-1.5730905760000002,-1.5595738046937502
TiS2,-1.41,-1.4566483979999987,-1.4710449547919555
Ti2O3,-3.15,-3.106764883999999,-3.076594675005609
VF4,-2.91,-3.0890988359999993,-2.9213668666079613
VN,-1.13,-1.332549629999999,-0.9141328334789591
VO,-2.24,-2.54157571,-2.31286801656565
VO2,-2.47,-2.6283848899999995,-2.48076447951374
V2O3,-2.53,-2.803420154,-2.6233648303345034
V2O5,-2.29,-2.361825631428573,-2.2373730160703382
YAs,-1.68,-1.8379777050000001,-1.7478538129588799
YCl3,-2.59,-2.6247487437500006,-2.6078558104637555
YF3,-4.45,-4.532165375000001,-4.457662284286151
Y2O3,-3.95,-3.926687359999998,-3.9262219995082632
ZnCl2,-1.43,-1.4702635600000005,-1.4291693023434842
ZnF2,-2.64,-2.8113958133333337,-2.7190925268522803
ZnO,-1.81,-1.936360445000001,-1.896855169153774
ZnP2,-0.21,-0.3429445693333335,-0.3820641677376801
ZnS,-1.07,-1.0811987060000003,-1.0695279589429951
ZnSb,-0.08,-0.0894228799999972,0.02974321878733477
ZnSe,-0.85,-0.9378371399999992,-0.8931750437340114
ZnTe,-0.61,-0.6199033000000007,-0.5374232784697668
Zn3As2,-0.28,-0.29034175000000034,-0.17130166584336876
Zn3N2,-0.05,-0.31809165399999983,-0.1160072094331909
Zn3P2,-0.33,-0.3436149515999986,-0.32966082780165634
ZrN,-1.89,-1.9937331549999975,-1.8677955062794176
ZrO2,-3.8,-3.8306865700000023,-3.8780522580473806
ZrS2,-1.96,-1.8122723446666669,-1.896750737766342
