Chemical Formula,Experimental Enthalpy (eV),"Calculated Enthalpy (uncorrected, eV)",FERE Corrected Enthalpy (eV)
Na2Se,-1.18,-1.297199853333333,-1.2519845454216731
Na2Se2,-0.97,-1.0219408800000007,-1.0057244534202248
Na3As,-0.53,-0.5764780074999996,-0.48305586605096895
Na3Bi,-0.46,-0.5145925150000004,-0.44930571139818554
Na3Sb,-0.53,-0.5919494350000001,-0.5020716092973068
NbN,-1.22,-1.2975797349999993,-1.1007408408172399
NbO2,-2.75,-2.7969725266666665,-2.7808362773879978
Nb2O5,-2.81,-2.8271341499999982,-2.820429249014398
NiF2,-2.25,-2.7016134400000005,-2.5381993550471287
NiO,-1.24,-1.7279963699999996,-1.6057865525796835
NiS,-0.43,-0.6773183459999998,-0.6048801958448902
NiSb,-0.34,-0.38164366500000213,-0.20955620765103689
NiSe,-0.31,-0.4684090999999988,-0.35664779690121406
NiTe,-0.28,-0.28987040000000164,-0.13720259490427722
Ni2O3,-1.01,-1.149023742,-1.061232525818309
Ni2Te3,-0.3,-0.26521347599999956,-0.14087267460782016
Ni3P,-0.54,-0.614131187249999,-0.44534355129473546
Ni3S2,-0.42,-0.5849497927999991,-0.4681387079532229
PdCl2,-0.69,-0.7267133566666667,-0.6272880544096088
PdO,-0.44,-0.7505565149999995,-0.6262078483568203
PdS,-0.39,-0.5246680159999997,-0.45009101662203044
PdS2,-0.28,-0.38346553133333333,-0.3835563728490972
Pd4S,-0.14,-0.3182225623999983,-0.1092434494133073
PtO,-0.37,-0.5844055350000019,-0.3153899283286421
PtO2,-0.57,-0.701181266666668,-0.5384652584766982
PtS,-0.42,-0.6223439810000002,-0.4031000415938486
PtS2,-0.38,-0.460814301333329,-0.36446051616364156
Pt3O4,-0.4,-0.6369940042857171,-0.4135353683920958
RbCl,-2.26,-2.2072378725000004,-2.209583126246841
RbF,-2.89,-2.88939678,-2.842681022113551
RbSb,-0.52,-0.5756617949999985,-0.5529948493825998
RbSb2,-0.35,-0.4163757933333301,-0.384640465893573
Rb2O,-1.17,-1.0866106966666678,-1.1062638928240602
Rb2O2,-1.22,-1.1626297000000019,-1.1898403943112488
Rb2S,-1.25,-1.2029353440000012,-1.2557696516675325
Rb3Sb,-0.45,-0.5102840549999996,-0.5012196821161439
RhCl3,-0.78,-0.9965597262500019,-0.7928629209846534
RhO2,-0.85,-1.0938382766666663,-0.8553456878507456
Rh2O3,-0.84,-1.1709890160000014,-0.8748212716663346
Rh2S3,-0.54,-0.7348715972000008,-0.4984298535845852
ScAs,-1.39,-1.5368788000000002,-1.6050831494199898
ScCl3,-2.4,-2.39231865125,-2.442547395210453
ScF3,-4.22,-4.211269337499999,-4.187906564010516
Sc2O3,-3.94,-3.782688652,-3.892801786427616
SiO2,-3.13,-3.0564191599999995,-3.033788193149173
SiS2,-0.88,-0.7488998913333328,-0.792631147502784
SiSe2,-0.61,-0.5176536300000004,-0.5089540155778826
Si3N4,-1.1,-1.3528021614285717,-1.1406609491100224
SnO,-1.48,-1.4340207400000011,-1.4247388898467612
SnO2,-1.97,-1.9571388933333342,-1.9675787228221135
SnS,-0.57,-0.481479341,-0.5219691581119683
SnS2,-0.53,-0.4938751513333344,-0.5706772038423887
SnSe,-0.47,-0.46085059500000014,-0.4620172591682916
SnSe2,-0.43,-0.44155602000000016,-0.4659272019174878
SrO,-3.07,-3.016673214999999,-3.0956389637459196
SrO2,-2.19,-2.1334837233333324,-2.2027552854215506
SrS,-2.45,-2.452395200999998,-2.581132617011127
Sr2Bi,-1.08,-0.9335117333333329,-1.0217079382523575
Sr2Sb,-1.11,-1.0542490499999981,-1.1096572254511894
TaN,-1.3,-1.3488755549999993,-1.2279974716024178
TaS2,-1.22,-1.1671351713333327,-1.2680016855983898
TiAs,-0.78,-0.9979706400000001,-0.8884827804843578
TiCl4,-1.7,-1.7464703740000005,-1.7156069471229103
TiN,-1.58,-1.787262909999999,-1.5870483960273365
TiO2,-3.26,-3.210231686666667,-3.191845024194727
TiS,-1.41,-1.5249198460000013,-1.5221699251708927
TiS2,-1.41,-1.4980982913333325,-1.5460738518816715
Ti2O3,-3.15,-3.1083212759999994,-3.076280643279111
VF4,-2.91,-3.1815983979999998,-2.9109400819817806
VN,-1.13,-1.3037490399999996,-0.7002913497076744
VO,-2.24,-3.080555484999998,-2.62479072058602
VO2,-2.47,-2.739248676666667,-2.4520332299816197
V2O3,-2.53,-3.120291168,-2.765655994223381
V2O5,-2.29,-2.370663914285715,-2.131605415523219
YAs,-1.68,-1.8211901949999998,-1.777116965134276
YCl3,-2.59,-2.631153406250002,-2.6252433605675964
YF3,-4.45,-4.5390917575,-4.45959019436766
Y2O3,-3.95,-3.892352113999999,-3.9126431849990437
ZnCl2,-1.43,-1.4702635600000005,-1.4158671588702443
ZnF2,-2.64,-2.8113958133333337,-2.6915847300258577
ZnO,-1.81,-1.936360445000001,-1.879555130047776
ZnP2,-0.21,-0.3429445693333335,-0.42695191445377273
ZnS,-1.07,-1.0811987060000003,-1.0741650583129836
ZnSb,-0.08,-0.0894228799999972,0.017260074880873333
ZnSe,-0.85,-0.9378371399999992,-0.8914803393693056
ZnTe,-0.61,-0.6199033000000007,-0.5326399973723674
Zn3As2,-0.28,-0.29034175000000034,-0.16662571716570654
Zn3N2,-0.05,-0.31809165399999983,-0.12179429760008986
Zn3P2,-0.33,-0.3436149515999986,-0.3286218312013574
ZrN,-1.89,-1.963908140000001,-1.8074050576466938
ZrO2,-3.8,-3.873299243333333,-3.8840535352742975
ZrS2,-1.96,-1.853893244666665,-1.9310097596279074
