Compounds,Total energy (eV),"Formation enthalpy (experiment, eV)",Element,Total energy (eV)
InS,-44.26141383,-0.7,,
InSb,-70.90627187,-0.16,,
InSe,-54.64959001,-0.62,,
InTe,-71.2198036,-0.5,,
In2O3,-94.62986424,-1.92,,
In2S3,-99.07062786,-0.74,,
In2Se3,-129.977543,-0.67,,
In2Te3,-180.1643117,-0.41,,
IrO2,-84.65334402,-0.95,,
IrS2,-90.22055661,-0.48,,
Ir2S3,-170.2688155,-0.49,,
KCl,-20.61426504,-2.26,,
KF,-17.60049421,-2.94,,
KSb,-46.59842603,-0.43,,
KSb2,-83.86302721,-0.37,,
K2O,-26.31848945,-1.25,,
K2O2,-33.78971254,-1.28,,
K2S,-29.96884953,-1.31,,
K2S2,-40.24517702,-1.12,,
K2Se,-40.48453029,-1.36,,
K3As,-46.81118524,-0.48,,
K3Bi,-105.2245102,-0.6,,
K3Sb,-64.1480554,-0.47,,
K5Sb4,-195.215607,-0.44,,
LaCl3,-77.52261846,-2.78,,
LaN,-55.0288653,-1.57,,
LaS,-56.96434713,-2.36,,
La2O3,-122.6555508,-3.72,,
La2S3,-126.7193909,-2.51,,
La2Te3,-205.9122367,-1.63,,
LiCl,-14.38102766,-2.12,,
LiF,-12.22387957,-3.19,,
Li2O,-16.99204566,-2.07,,
Li2O2,-23.47419074,-1.64,,
Li2S,-18.8864507,-1.52,,
Li2Se,-29.03363635,-1.45,,
Li3Bi,-87.89943915,-0.6,,
Li3N,-18.2758192,-0.43,,
Li3Sb,-47.06168737,-0.83,,
MgCl2,-27.20807426,-2.21,,
MgF2,-23.53606665,-3.88,,
MgO,-17.28679201,-3.11,,
MgS,-17.94542646,-1.79,,
MgSe,-27.93996274,-1.52,,
MgTe,-44.19787877,-1.08,,
Mg3As2,-59.03349582,-0.91,,
Mg3Bi2,-173.2057284,-0.32,,
Mg3N2,-38.44717672,-0.96,,
Mg3P2,-39.78019747,-0.96,,
Mg3Sb2,-91.53914042,-0.49,,
MnO,-27.84704476,-2,,
MnS,-29.50024312,-1.11,,
MnS2,-38.64694368,-0.72,,
MnSb,-55.19515585,-0.26,,
Mn2O3,-64.04870399,-1.99,,
Mn3O4,-92.32762447,-2.05,,
NaCl,-16.3154223,-2.13,,
NaF,-13.76977911,-2.97,,
NaSb,-42.2667848,-0.33,,
NaTe3,-117.852461,-0.35,,
Na2O,-18.98321983,-1.43,,
Na2O2,-26.09173016,-1.32,,
Na2S,-21.92319794,-1.26,,
Na2S2,-31.77249851,-1.03,,
Na2Se,-32.27928657,-1.18,,
Na2Se2,-52.56759801,-0.97,,
Na3As,-34.93598019,-0.53,,
Na3Bi,-92.9153159,-0.46,,
Na3Sb,-51.95703977,-0.53,,
NbN,-42.80372301,-1.22,,
NbO2,-51.69608578,-2.75,,
Nb2O5,-112.6208845,-2.81,,
NiF2,-29.76368882,-2.25,,
NiO,-24.4254378,-1.24,,
NiS,-25.73598669,-0.43,,
NiSb,-52.76801335,-0.34,,
NiSe,-35.64074005,-0.31,,
NiTe,-52.54694245,-0.28,,
Ni2O3,-54.07171117,-1.01,,
Ni2Te3,-142.5710273,-0.3,,
Ni3P,-56.84307231,-0.54,,
Ni3S2,-66.1133901,-0.42,,
PdCl2,-49.57963825,-0.69,,
PdO,-39.35465432,-0.44,,
PdS,-42.33257983,-0.39,,
