Compounds,Total energy (eV),"Formation enthalpy (experiment, eV)",Element,Total energy (eV)
CdTe,-4.80505247,-0.48,Rb,-0.935909441
Cd3As2,-12.05875042,-0.08,Rh,-6.26075549
Cd3N2,-16.12018632,0.33,S,-4.123354278
Cd3P2,-13.30850366,-0.24,Sb,-4.139299365
CoF2,-15.00310371,-2.39,Sc,-5.8000212
CoF3,-17.71802849,-2.1,Se,-3.507209737
CoO,-11.91590515,-1.23,Si,-5.422387975
CoS,-9.18067979,-0.43,Sn,-3.829411495
CoSb3,-16.2243184,-0.17,Sr,-1.633958785
CoSe,-8.37390818,-0.32,Ta,-8.5363924
Co3O4,-40.82915908,-1.32,Te,-3.143235147
Co3S4,-31.26978471,-0.53,Ti,-4.073193277
CrF4,-26.76985615,-2.58,V,-4.97462126
CrN,-17.12093244,-0.65,Y,-5.42407372
CrO2,-23.08610981,-2.07,Zn,-0.550032215
CrS,-13.32933247,-0.81,Zr,-6.39095856
Cr2O3,-40.85000436,-2.36,,
CuF2,-10.74880035,-1.88,,
CuO,-8.107937533,-0.82,,
CuS,-6.309984413,-0.28,,
CuSe,-5.571955047,-0.21,,
Cu2O,-9.87877258,-0.58,,
Cu2S,-8.303521587,-0.28,,
Cu2Sb,-7.532199,-0.04,,
Cu2Se,-7.457005061,-0.21,,
Cu2Te,-6.48321235,0.07,,
Cu3N,-12.65687648,0.19,,
Cu3P,-10.80174684,-0.17,,
Cu3Sb,-9.09584543,-0.02,,
FeF2,-16.7822632,-2.46,,
FeO,-13.55583488,-1.41,,
FeS,-10.78265819,-0.52,,
FeSe,-9.962665755,-0.39,,
Fe2O3,-34.06637697,-1.71,,
Fe3O4,-47.38190097,-1.66,,
GaAs,-8.27202903,-0.37,,
GaCl3,-12.84481039,-1.36,,
GaF3,-18.64074314,-3.01,,
GaN,-12.16364617,-0.81,,
GaP,-9.12484199,-0.53,,
GaS,-8.32747061,-1.09,,
GaSb,-7.36683478,-0.22,,
GaSe,-7.581554834,-0.83,,
Ga2O3,-29.8365926,-2.26,,
Ga2S3,-21.49018348,-1.07,,
Ga2Se3,-19.23538549,-0.85,,
GeO2,-19.17160937,-2,,
GeS,-9.146081405,-0.39,,
GeS2,-13.71940907,-0.66,,
GeSe,-8.459595698,-0.48,,
Ge3N4,-46.65728872,-0.09,,
HfN,-19.68422144,-1.91,,
HfO2,-28.68755413,-3.95,,
HgCl2,-5.63280552,-0.77,,
HgO,-5.700435213,-0.47,,
HgS,-4.54677674,-0.3,,
HgSe,-4.018505913,-0.24,,
HgTe,-3.64492876,-0.22,,
InAs,-7.69601061,-0.31,,
InN,-10.6396499,-0.1,,
InP,-8.34358246,-0.39,,
InS,-7.686765135,-0.7,,
InSb,-6.93375638,-0.16,,
InSe,-7.10935298,-0.62,,
InTe,-6.29819898,-0.5,,
In2O3,-28.04042788,-1.92,,
In2S3,-20.23806432,-0.74,,
In2Se3,-18.28004743,-0.67,,
In2Te3,-16.07787172,-0.41,,
IrO2,-19.70098232,-0.95,,
IrS2,-16.81951837,-0.48,,
Ir2S3,-29.0165783,-0.49,,
KCl,-6.76600005,-2.26,,
KF,-8.22809407,-2.94,,
KSb,-6.033023213,-0.43,,
KSb2,-10.19635332,-0.37,,
K2O,-10.00525283,-1.25,,
K2O2,-16.11277009,-1.28,,
K2S,-9.33983475,-1.31,,
K2S2,-14.02413128,-1.12,,
K2Se,-8.84412862,-1.36,,
K3As,-9.05383417,-0.48,,
K3Bi,-8.454461683,-0.6,,
K3Sb,-8.856604875,-0.47,,
K5Sb4,-25.60105662,-0.44,,
LaCl3,-20.06575021,-2.78,,
LaN,-15.84942589,-1.57,,
LaS,-13.34236773,-2.36,,
La2O3,-41.82417325,-3.72,,
La2S3,-33.15232433,-2.51,,
La2Te3,-27.23431089,-1.63,,
LiCl,-7.37388843,-2.12,,
LiF,-9.62058841,-3.19,,
Li2O,-14.31181227,-2.07,,
Li2O2,-19.42644471,-1.64,,
Li2S,-11.9680598,-1.52,,
Li2Se,-11.10896332,-1.45,,
Li3Bi,-11.71104498,-0.6,,
Li3N,-15.5870048,-0.43,,
Li3Sb,-12.38007089,-0.83,,
MgCl2,-10.7686734,-2.21,,
MgF2,-15.76641914,-3.88,,
MgO,-11.91090975,-3.11,,
MgS,-8.50255367,-1.79,,
MgSe,-7.528625515,-1.52,,
MgTe,-6.40203242,-1.08,,
Mg3As2,-17.01258363,-0.91,,
Mg3Bi2,-13.30133742,-0.32,,
Mg3N2,-25.02581189,-0.96,,
Mg3P2,-18.70194246,-0.96,,
Mg3Sb2,-14.66857141,-0.49,,
MnO,-15.49690994,-2,,
MnS,-12.96670179,-1.11,,
MnS2,-16.28054197,-0.72,,
MnSb,-11.18466328,-0.26,,
Mn2O3,-37.23426838,-1.99,,
Mn3O4,-53.19578868,-2.05,,
NaCl,-6.81434176,-2.13,,
NaF,-8.66921575,-2.97,,
NaSb,-6.127150151,-0.33,,
NaTe3,-12.31361115,-0.35,,
Na2O,-11.33973547,-1.43,,
Na2O2,-17.01788598,-1.32,,
Na2S,-10.03226081,-1.26,,
Na2S2,-14.29284601,-1.03,,
Na2Se,-9.38673879,-1.18,,
Na2Se2,-13.0177461,-0.97,,
Na3As,-10.34130945,-0.53,,
Na3Bi,-9.355327395,-0.46,,
Na3Sb,-9.86143623,-0.53,,
NbN,-20.26012965,-1.22,,
NbO2,-27.02916613,-2.75,,
Nb2O5,-62.15567721,-2.81,,
NiF2,-13.29636572,-2.25,,
NiO,-10.3149581,-1.24,,
NiS,-7.524874992,-0.43,,
NiSb,-7.114384415,-0.34,,
NiSe,-6.543836543,-0.31,,
